country_key,country,score,gdp,social,life,freedom,generosity,corruption,residual
el salvador,El Salvador,6.12,1.265,0.768,0.607,0.666,0.089,0.212,2.514
kuwait,Kuwait,6.106,1.904,0.983,0.747,0.617,0.087,0.147,1.621
hungary,Hungary,6.086,1.748,1.233,0.668,0.485,0.078,0.064,1.812
mauritius,Mauritius,6.071,1.591,1.116,0.568,0.589,0.131,0.107,1.969
uzbekistan,Uzbekistan,6.063,1.219,1.092,0.6,0.716,0.283,0.24,1.913
japan,Japan,6.039,1.835,1.089,0.866,0.537,0.007,0.218,1.487
honduras,Honduras,6.022,1.111,0.885,0.555,0.582,0.202,0.076,2.611
portugal,Portugal,6.016,1.76,1.078,0.777,0.655,0.016,0.039,1.691
argentina,Argentina,5.967,1.592,1.102,0.662,0.555,0.081,0.085,1.891
greece,Greece,5.948,1.703,0.98,0.774,0.249,0.015,0.108,2.119
republic of korea,Republic of Korea,5.935,1.851,0.886,0.841,0.414,0.111,0.176,1.656
philippines,Philippines,5.904,1.268,0.912,0.514,0.678,0.107,0.142,2.283
thailand,Thailand,5.891,1.535,1.096,0.697,0.617,0.321,0.026,1.6
republic of moldova,Republic of Moldova,5.857,1.417,1.008,0.597,0.561,0.102,0.028,2.142
jamaica,Jamaica,5.85,1.296,1.045,0.646,0.567,0.08,0.053,2.164
kyrgyzstan,Kyrgyzstan,5.828,1.069,1.109,0.638,0.693,0.208,0.025,2.087
belarus,Belarus,5.821,1.562,1.157,0.629,0.342,0.04,0.282,1.811
colombia,Colombia,5.781,1.452,0.929,0.72,0.545,0.087,0.077,1.971
bosnia and herzegovina,Bosnia and Herzegovina,5.768,1.468,1.068,0.665,0.448,0.244,0.006,1.869
mongolia,Mongolia,5.761,1.393,1.197,0.467,0.398,0.247,0.059,1.999
dominican republic,Dominican Republic,5.737,1.538,1.003,0.577,0.606,0.084,0.179,1.751
malaysia,Malaysia,5.711,1.689,0.938,0.62,0.654,0.213,0.126,1.471
bolivia,Bolivia,5.6,1.256,0.88,0.555,0.627,0.112,0.064,2.107
china,China,5.585,1.508,0.958,0.705,0.656,0.099,0.142,1.516
paraguay,Paraguay,5.578,1.409,1.13,0.624,0.629,0.171,0.059,1.555
peru,Peru,5.559,1.397,0.865,0.735,0.545,0.09,0.037,1.89
montenegro,Montenegro,5.547,1.573,1.023,0.659,0.46,0.135,0.077,1.619
ecuador,Ecuador,5.533,1.352,0.879,0.708,0.565,0.08,0.083,1.866
